id,name,description,unit_price,merchant_id,created_at,updated_at
1,Exuberant Sling,Future!!!,36.74,55,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
2,Needy Net,The best time to wear a striped sweater is all the time.,60.43,21,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
3,Extravagant Shortsword,F is for friends who do stuff together!,44.19,16,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
4,Extravagant Sour ale,I have no soul.,29.91,38,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
5,Stubborn Lance,But it's my only night to be fancy!,38.79,57,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
6,Wistful Crossbow,"Goodbye everyone, I'll remember you all in therapy.",63.89,66,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
7,Helpless Belgian and french ale,"If you believe in yourself, with a tiny pinch of magic all your dreams can come true!",79.72,87,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
8,Prickly Light lager,Once upon a time there was an ugly barnacle. He was so ugly that everyone died. The end!,61.03,53,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
9,Cheerful Crossbow,"Two words, SpongeBob. Na. Chos.",77.79,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
10,Sympathetic Pizza,I have no soul.,50.37,54,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
11,Uplifted Bruschette with tomato,I'm ugly and I'm proud!,93.75,24,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
12,Wishful Boomerang,All I know is fine dining and breathing.,79.76,64,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
13,Enraged Club,All I know is fine dining and breathing.,95.41,88,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
14,Neglected Blowgun,The inner machinations of my mind are an enigma.,12.25,18,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
